,Tweet
5142,"RT @Asmali77: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo to #Eliud159 for the next 5 days to show their loyalty an…"
5143,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5144,I love the pressure that Eliud Kipchoge has put on himself. It's a great lesson to learn. Setting one's target and… https://t.co/y5C6BkBGaW
5145,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5146,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5147,RT @markphilo: Eliud Kipchoge has already practised and I'm sure he has already attained the 1:59 time. I hope the weather favours him on S…
5148,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5149,"RT @Jimmywanjigi1: I've never been so keen on an athlete like am keen on Eliud Kipchoge
Ever since I started watching the 2hrs plus maratho…"
5150,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5151,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5152,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
5153,"If success was a person
Eliud Kipchoge 
a.k.a
""King' Choge""
#NoHumanIsLimited
#eliudkipchoge https://t.co/9BrmEVIQmA"
5154,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5155,The Hustler Nation wishes Eliud Kipchoge all the best as he goes for the mission to break the barrier.… https://t.co/zy6tXWdnQv
5156,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5157,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5158,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5159,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5160,"RT @bevalynekwambo3: #ineos159challenge
Eliud Kipchoge is busy Breaking his own record,  it's him against time, meaning, the only person yo…"
5161,"RT @Asmali77: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo to #Eliud159 for the next 5 days to show their loyalty an…"
5162,"RT @Chin4ski: I'm so proud of this man!! 

'When Kipchoge actually enters a race, he sends ripples through the field before his races even…"
5163,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
5164,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5165,"RT @drexxss: The only competition for Eliud Kipchoge 🤣🤣
#eliudkipchoge https://t.co/LJJNvU9Aq0"
5166,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5167,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
5168,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5169,RT @RonaldOkoth__: Here are my views on Goal in regards to Eliuds’ attempt to break his own record. We’re lucky as a nation to have such a…
5170,"To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7… https://t.co/Atpqgco6Sz"
5171,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5172,"RT @ianmutuli: Always remember that your president saw it fit to give githeri man, Alai, and Itumbi the presidential honour and not great K…"
5173,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5174,RT @CarolRadull: Eliud Kipchoge flew out last night from his training base in Eldoret town to Vienna Austria ahead of his attempt to run ma…
5175,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5176,"RT @VinieO: Eliud Kipchoge Is the Greatest Marathoner, Ever 

(Just in case, any one doubted/ forgot) 

https://t.co/7RFW59Hjk9"
5177,"RT @SirAlexas: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their loyalty and support fo…"
5178,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
5179,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5180,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5181,Eliud Kipchoge should have a sneaker deal with Nike once he runs under 2 mins #eliud159
5182,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5183,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
5184,"RT @ItsNyambane: In honour of icon Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their support for Kip…"
5185,"RT @SahlHealth: History's fastest marathon runner, Eliud Kipchoge, eats a predominantly a whole food plant-based diet. Most of the food is…"
5186,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5187,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
5188,"RT @ItsNyambane: In honour of icon Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their support for Kip…"
5189,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5190,@ekisiangani Eliud Kipchoge (born 5 November 1984) is a Kenyan long-distance runner who competes in the marathon an… https://t.co/ME8Ux0QkZg
5191,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
5192,RT @shobanes: Will Eliud Kipchoge be wearing the 'New' Nike's ZoomX Vaporfly Next% that he used at the London Marathon for the #ineos159cha…
5193,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5194,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5195,RT @ac_mitchelle: Imagine running WITH Eliud Kipchoge. https://t.co/kG86R2sjDJ
5196,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5197,"Has the GOK made Eliud Brand Kenya ambassador yet?
Why is it feeling like the gvt is failing to seize the Eliud Kip… https://t.co/urw2DaD2kj"
5198,"In honour of icon Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their support… https://t.co/zyFQw2BvrF"
5199,Imagine running WITH Eliud Kipchoge. https://t.co/kG86R2sjDJ
5200,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5201,"@michaelj2 .@michaelj2 Our new logo will be the five letters spelling Kipchoge’s first name, “Eliud” and the number… https://t.co/fB2dAMrESe"
5202,@SafaricomPLC unveils new M-Pesa logo featuring  the name of world Marathon record holder Eliud Kipchoge in support… https://t.co/Pw3Bv85pUj
5203,"RT @drexxss: The only competition for Eliud Kipchoge 🤣🤣
#eliudkipchoge https://t.co/LJJNvU9Aq0"
5204,"RT @drexxss: The only competition for Eliud Kipchoge 🤣🤣
#eliudkipchoge https://t.co/LJJNvU9Aq0"
5205,"RT @Asmali77: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo to #Eliud159 for the next 5 days to show their loyalty an…"
5206,"RT @arnoldi254: Now Eliud Kipchoge has his name on Money na si urezo. The limits are now broken

#Eliud159 #eliudkipchoge https://t.co/SWnR…"
5207,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
5208,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5209,"Meet the man who wants to run 42.2 km in less than two hours.

World and Olympic champion Eliud Kipchoge is already… https://t.co/QBTcBSfhMl"
5210,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5211,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5212,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
5213,"RT @SahlHealth: History's fastest marathon runner, Eliud Kipchoge, eats a predominantly a whole food plant-based diet. Most of the food is…"
5214,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5215,"Safaricom will change their Mpesa logo for the next 7 days in honour of Eliud Kipchoge.

They will also offer free… https://t.co/LJt1zqJ8kD"
5216,"RT @bevalynekwambo3: #ineos159challenge
Eliud Kipchoge is busy Breaking his own record,  it's him against time, meaning, the only person yo…"
5217,RT @shobanes: Will Eliud Kipchoge be wearing the 'New' Nike's ZoomX Vaporfly Next% that he used at the London Marathon for the #ineos159cha…
5218,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5219,"RT @bevalynekwambo3: #ineos159challenge
Eliud Kipchoge is busy Breaking his own record,  it's him against time, meaning, the only person yo…"
5220,This man Eliud Kipchoge is really trending.Talent can do a lot..#ineos159challenge
5221,"RT @Kenyans: Eliud Kipchoge on Sir Tom’s Gulfstream G280, which was flown by two pilots from Britain to Eldoret; to fly Kipchoge to Vienna.…"
5222,OK am eliud kipchoge fan and I love athletics but I don't think 1.59 is possible
5223,"History's fastest marathon runner, Eliud Kipchoge, eats a predominantly a whole food plant-based diet. Most of the… https://t.co/PD8ehrMXwE"
5224,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
5225,@SafaricomPLC  unveils a new 7-days M-pesa logo in honor of Eliud Kipchoge #NakuruTV https://t.co/vBTjoYwtBM
5226,"RT @ac_mitchelle: Eliud Kipchoge Is the Greatest Marathoner, Ever - The New York Times https://t.co/45juD4rqNg"
5227,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5228,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
5229,"RT @Asmali77: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo to #Eliud159 for the next 5 days to show their loyalty an…"
5230,RT @Tuko_co_ke: Safaricom unveils new M-Pesa logo featuring  the name of world Marathon record holder Eliud Kipchoge in support of his INEO…
5231,"RT @Crazy_Nairobian: This world record cannot escape our Kenyan world record marathon holder, in short, it cannot Eliud Kipchoge 🇰🇪 😎"
5232,"RT @arnoldi254: Now Eliud Kipchoge has his name on Money na si urezo. The limits are now broken

#Eliud159 #eliudkipchoge https://t.co/SWnR…"
5233,"RT @JKNjenga: No man or woman in human history has ever run 42 km in under 2 hours.

This weekend, a Kenyan will.

Go for it, Eliud Kipchog…"
5234,RT @Mbiginji: Time waits for no man..But Eliud Kipchoge will be waiting for time.#eliudkipchoge
5235,"RT @Aadozo: Safaricom will change their Mpesa logo for the next 5 days in honour of Eliud Kipchoge.

They will also offer free 1.59GB data…"
5236,"“This is about history and making a mark in sport - it’s like the first man to go to the moon” - Eliud Kipchoge.
▪️… https://t.co/3xt00ohI6Q"
5237,"RT @koechbens: My best with to Eliud kipchoge  #KipchogeINEOSChallenge in Vienna Austria history is going to be made ,stay tuned #Eliud159…"
5238,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
5239,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
5240,"Madam Karīmi, our head of Customer Experience Department has promised Eliud Kipchoge an out of this world  experien… https://t.co/esGVO2owdS"
5241,We pray for you Eliud Kipchoge #NoHumanIsLimited https://t.co/a8F0AZeTM8
5242,"RT @Crazy_Nairobian: This world record cannot escape our Kenyan world record marathon holder, in short, it cannot Eliud Kipchoge 🇰🇪 😎"
5243,Will Eliud Kipchoge be wearing the 'New' Nike's ZoomX Vaporfly Next% that he used at the London Marathon for the… https://t.co/ygVXtzwFyZ
5244,"RT @SirAlexas: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their loyalty and support fo…"
5245,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
5246,Eliud Kipchoge has already practised and I'm sure he has already attained the 1:59 time. I hope the weather favours… https://t.co/ydfEJBSPgX
5247,"RT @Crazy_Nairobian: This world record cannot escape our Kenyan world record marathon holder, in short, it cannot Eliud Kipchoge 🇰🇪 😎"
5248,RT @sportsscipod: Our latest pod is up... just in time for the @INEOS159 ! Is Eliud Kipchoge's second attempt at breaking the two-hour mara…
5249,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5250,RT @fortetunemedia: What message do you have for Eliud kipchoge ahead of his challenge? retweet and show him some love and support🙌🇰🇪   ..W…
5251,"RT @Aadozo: Safaricom will change their Mpesa logo for the next 5 days in honour of Eliud Kipchoge.

They will also offer free 1.59GB data…"
5252,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5253,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5254,"#Eliud159
If he (ELIUD KIPCHOGE) wins
Here are our demands
1:NATIONAL HOLIDAY
2:NAME A STREET/HIGHWAY AFTER HIM
3:H… https://t.co/E7t3ZSrv6W"
5255,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5256,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5257,RT @_AllKnowing: Safaricom changing their Mpesa logo to Eliud 159 for the next 5 days to show support to our king Eliud Kipchoge #eliudkipc…
5258,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5259,"RT @Crazy_Nairobian: This world record cannot escape our Kenyan world record marathon holder, in short, it cannot Eliud Kipchoge 🇰🇪 😎"
5260,"RT @ekisiangani: I don't like the pressure the world has exerted on our Marathon Superstar, Eliud Kipchoge. He is even making things worse…"
5261,"RT @e_lumumba: Rest of the world, Eliud Kipchoge is about to redefine humanity!
Kenyan media : Have you guys seen the plane? Daaaaaamn😱😱😱😱…"
5262,"Marathoner Eliud Kipchoge and his pacemakers make first run in the INEOS course in Vienna, Austria."
5263,"RT @drexxss: The only competition for Eliud Kipchoge 🤣🤣
#eliudkipchoge https://t.co/LJJNvU9Aq0"
5264,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5265,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5266,"Marathoner Eliud Kipchoge and his pacemakers make first run in the INEOS course in Vienna, Austria.  @INEOS159… https://t.co/QwBYus8A3n"
5267,"All the best to you #eliudkipchoge 
Your humility, I admire. Lessons from Eliud Kipchoge. #eliud159"
5268,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5269,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5270,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5271,RT @dailynation: Sh. 2.4 billion jet that flew Eliud Kipchoge to Vienna ahead of the INEOS 1:59 challenge https://t.co/6fCYANyyGH
5272,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5273,"RT @Peter_aminga: Thank you Safaricom. All the best Eliud Kipchoge.

#Eliud159 https://t.co/M2EmkAmn7B"
5274,"RT @FrvrTony: I like Eliud Kipchoge very much , I do respect him too. But he is going to miss the #eliud159 by 1:2 sec or 12 seconds and /o…"
5275,"RT @citizentvkenya: Citizen TV to air INEOS 1:59 as Kenyans root for Eliud Kipchoge
https://t.co/xldTi47wZa"
5276,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5277,RT @allafrica: Special Jet for Eliud Kipchoge Ahead of Historic Feat @dailynation : https://t.co/2aQ6x3Uch5 #Kenya #INEOS159 #KipchogeINEOS…
5278,"RT @gatwiri_ch: What Eliud Kipchoge is attempting is not a small feat. He will need to run about 5.8 meters/s for est. 42000 metres. 
But h…"
5279,"RT @gatwiri_ch: And that's how you hack a marathon.
All the best Eliud Kipchoge. You've everything it takes to make it.
May all the element…"
5280,"RT @arnoldi254: Now Eliud Kipchoge has his name on Money na si urezo. The limits are now broken

#Eliud159 #eliudkipchoge https://t.co/SWnR…"
5281,"RT @Mwirigi: The thing that makes Eliud Kipchoge the greatest athlete of all time is not his body, it's his mind. https://t.co/RK9holONX1"
5282,"Thank you Safaricom. All the best Eliud Kipchoge.

#Eliud159 https://t.co/M2EmkAmn7B"
5283,RT @Reuters: World record holder and Olympic medalist Eliud Kipchoge is intent on making history by breaking the two-hour barrier at the Vi…
5284,"There was KIPCHOIGE Keino in the 60s and 70s

Now there is Eliud KIPCHOGE.

What is it about the name KIPCHOGE?… https://t.co/3hKSOaZ0Pe"
5285,"“In life, the idea is to be happy. So, I believe in calm, simple, low-profile life. You live simple, you train hard… https://t.co/ihINWaSOLn"
5286,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5287,"RT @_NimuK: ""In life, the idea is to be happy. So, I believe in a calm, simple, low-profile life. You live simple, you train hard and live…"
5288,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5289,Mpesa has envail new logo to honour Eliud kipchoge ahead of #ineos159challenge https://t.co/w4QE2Hb6kj
5290,"RT @Mwirigi: The thing that makes Eliud Kipchoge the greatest athlete of all time is not his body, it's his mind. https://t.co/RK9holONX1"
5291,"RT @Mwirigi: The thing that makes Eliud Kipchoge the greatest athlete of all time is not his body, it's his mind. https://t.co/RK9holONX1"
5292,RT @PsSportsKenya: The hard work and resilience of our athletes epitomize the true Kenyan spirit. Fully behind Eliud Kipchoge in his upcomi…
5293,"RT @Mwirigi: The thing that makes Eliud Kipchoge the greatest athlete of all time is not his body, it's his mind. https://t.co/RK9holONX1"
5294,"RT @Asmali77: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo to #Eliud159 for the next 5 days to show their loyalty an…"
5295,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5296,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5297,RT @BettKMax: INEOS 159 challenge is very impossible for Eliud Kipchoge. #ineos159challenge https://t.co/EMhmlznWCW
5298,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5299,"RT @SirAlexas: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their loyalty and support fo…"
5300,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5301,"Eliud Kipchoge, Jua Cali and many others have been part of Safaricom's campaign, spot the billboard with 👉Tupo Nawe… https://t.co/MCng0VGh4Y"
5302,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5303,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5304,"Citizen TV to air INEOS 1:59 as Kenyans root for Eliud Kipchoge
https://t.co/xldTi47wZa"
5305,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5306,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5307,"RT @Crazy_Nairobian: This world record cannot escape our Kenyan world record marathon holder, in short, it cannot Eliud Kipchoge 🇰🇪 😎"
5308,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5309,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5310,"I like Eliud Kipchoge very much , I do respect him too. But he is going to miss the #eliud159 by 1:2 sec or 12 seco… https://t.co/yGnTxBfhov"
5311,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5312,Safaricom unveils new M-Pesa logo featuring  the name of world Marathon record holder Eliud Kipchoge in support of… https://t.co/zWAQtV83kx
5313,RT @TheStarKenya: Olympic and world marathon champion Eliud Kipchoge will be making a second attempt to run under two hours https://t.co/wa…
5314,"RT @Crazy_Nairobian: This world record cannot escape our Kenyan world record marathon holder, in short, it cannot Eliud Kipchoge 🇰🇪 😎"
5315,Marathoner Eliud Kipchoge and his pacemakers make first run on the course that will be used for INEOS 1:59 Challeng… https://t.co/NbYguG17gG
5316,What a great way to cheer our Hero Eliud Kipchoge in the #Vienna159Challenge by @SafaricomPLC All the best Kipchoge 💙💙💙
5317,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5318,RT @bevalynekwambo3: Congratulations to  the CS Friday is Eliud Kipchoge day what a long weekend 🤗
5319,"RT @cellie_beckie: Today I found myself praying for bwana Eliud Kipchoge and the #ineos159challenge. Truly, no human is limited."
5320,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5321,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
5322,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
5323,"The ‘impossible’ record Eliud Kipchoge hopes to break in Vienna and why it matters
https://t.co/K6AICW5S7d"
5324,"In honor of Eliud Kipchoge,this will be the Mpesa logo for the next 7 days, in celebration of the greatest Marathon… https://t.co/X6Ud6KaPal"
5325,RT @mainneli_: Eliud Kipchoge about to unite Kenyans for at least 119 minutes.
5326,"Today I found myself praying for bwana Eliud Kipchoge and the #ineos159challenge. Truly, no human is limited."
5327,"RT @StandardKenya: World marathon record holder Eliud Kipchoge has left the country for the Ineos 1:59 Challenge in Vienna, Austria

Let's…"
5328,"RT @Asmali77: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo to #Eliud159 for the next 5 days to show their loyalty an…"
5329,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5330,"RT @arnoldi254: Now Eliud Kipchoge has his name on Money na si urezo. The limits are now broken

#Eliud159 #eliudkipchoge https://t.co/SWnR…"
5331,"Eliud Kipchoge we are behind you but please eeeh, don't kill yourself 🙏🇰🇪
#ineos159challenge  #INEOS159 https://t.co/yJkH2grZoq"
5332,"RT @JKNjenga: No man or woman in human history has ever run 42 km in under 2 hours.

This weekend, a Kenyan will.

Go for it, Eliud Kipchog…"
5333,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5334,@SafaricomPLC changes their mpesa logo in honour of Eliud Kipchoge #eliud159
5335,"RT @SirAlexas: If Eliud Kipchoge runs below 2 hours, we deserve an holiday to celebrate that...."
5336,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5337,"RT @SirAlexas: In honour of Eliud Kipchoge, Safaricom will change their Mpesa logo for the next 5 days to show their loyalty and support fo…"
5338,"RT @JKNjenga: No man or woman in human history has ever run 42 km in under 2 hours.

This weekend, a Kenyan will.

Go for it, Eliud Kipchog…"
5339,Safaricom unveil a new Mpesa Logo in support of Eliud Kipchoge - https://t.co/XdwPgvpGtC
5340,RT @thuogithuku: Eliud Kipchoge and brother Peter Tabichi are persons our children should study in school as characters they should closely…
5341,"RT @arnoldi254: Now Eliud Kipchoge has his name on Money na si urezo. The limits are now broken

#Eliud159 #eliudkipchoge https://t.co/SWnR…"
5342,@NaomKemunto5 That's is what Eliud kipchoge says https://t.co/zHT3yy5rGH
5343,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5344,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5345,"RT @Aadozo: Safaricom will change their Mpesa logo for the next 5 days in honour of Eliud Kipchoge.

They will also offer free 1.59GB data…"
5346,"RT @ac_mitchelle: Eliud Kipchoge Is the Greatest Marathoner, Ever - The New York Times https://t.co/45juD4rqNg"
5347,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5348,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5349,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
5350,"RT @VinieO: Eliud Kipchoge Is the Greatest Marathoner, Ever 

(Just in case, any one doubted/ forgot) 

https://t.co/7RFW59Hjk9"
5351,"RT @Tuko_co_ke: Marathoner Eliud Kipchoge and his pacemakers make first run in the INEOS course in Vienna, Austria. 

Kipchoge is determine…"
5352,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5353,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5354,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
5355,"RT @Kenyafootball: Your favorite corporates, broadcasters, parastatals &amp; even prominent individuals are falling over themselves to celebrat…"
5356,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
5357,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
5358,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5359,"RT @JKNjenga: No man or woman in human history has ever run 42 km in under 2 hours.

This weekend, a Kenyan will.

Go for it, Eliud Kipchog…"
5360,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
5361,"RT @JKNjenga: No man or woman in human history has ever run 42 km in under 2 hours.

This weekend, a Kenyan will.

Go for it, Eliud Kipchog…"
5362,"RT @VinieO: Eliud Kipchoge Is the Greatest Marathoner, Ever 

(Just in case, any one doubted/ forgot) 

https://t.co/7RFW59Hjk9"
